run,fold,kernel_family,failed,n_lipids,wall_time_sec,test_rmse_z_mean,test_rmse_z_median,test_corr_mean,test_corr_median,test_r2_mean,test_r2_median,mean_pred_std_z_mean,mean_pred_std_z_median,fit_sec_mean,fit_sec_median
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_1,manifold,False,5,5626.627754211426,0.7474105358123779,0.7683526873588562,0.5174218850647468,0.5712061490242131,0.29780077079621037,0.3155455697998177,0.8215824842453003,0.8177390098571777,1122.222706747055,1122.222706747055
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn310,fold_1,manifold,False,5,5530.428013086319,0.747345757484436,0.7603486776351929,0.5153186666983112,0.5635651381054254,0.2957873376723561,0.3075731157275441,0.811598026752472,0.8122497797012329,1103.0296531677243,1103.0296531677243
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.910,fold_1,manifold,False,5,3171.4693615436554,0.7414912104606628,0.7549706101417542,0.5234863817651978,0.5791140136576369,0.3055915070593092,0.3252469067870555,0.8069871544837952,0.8021947741508484,632.168389415741,632.168389415741
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9510,fold_1,manifold,False,5,3080.9773967266083,0.7452844738960266,0.7633881568908691,0.5209906606672599,0.576207047864272,0.3007369577678794,0.3202127161050633,0.8161051511764527,0.8108347058296204,613.747520494461,613.747520494461
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9710,fold_1,manifold,False,5,3153.008802175522,0.747372841835022,0.768317699432373,0.5172600704479577,0.5713753199844597,0.29783281878509343,0.3157856541415689,0.8214906692504883,0.8176724910736084,628.2252401828766,628.2252401828766
FOLD-1-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn310,fold_1,manifold,False,5,3169.282612800598,0.747433316707611,0.7606717348098755,0.5147671586151324,0.5640057793282367,0.2956470799341243,0.3076609010377538,0.8110932111740112,0.8113579750061035,631.6896303176879,631.6896303176879
FOLD-1-spectral-nu2-K100-stride4-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-lr0.05-ep20-lbs10-rootdissolve-dn310,fold_1,spectral,False,5,741.3557693958282,0.7831086754798889,0.7947103977203369,0.46449190385927064,0.4903666352434402,0.24009646965342704,0.2294045378220041,0.8539458036422729,0.8706610798835754,146.95943441390992,146.95943441390992
FOLD-1-spectral-nu2-K1300-stride4-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-lr0.05-ep20-lbs10-rootdissolve-dn310,fold_1,spectral,False,5,793.441828250885,0.7237632513046265,0.7432411313056946,0.5532457704213444,0.6194457481248299,0.3265438672883735,0.3757592952239066,0.7760091781616211,0.7657970786094666,157.20486464500428,157.20486464500428
FOLD-2-euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_2,euclidean,False,5,2656.605571269989,0.750839352607727,0.768578827381134,0.5546845654543403,0.6173735507597425,0.3397398073886374,0.3798999518632777,0.7779433965682984,0.7719030380249023,504.9693596363069,504.9693596363068
FOLD-2-euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_2,euclidean,False,5,2554.6786766052246,0.75046226978302,0.7682942748069763,0.5558809502634665,0.6168871357669401,0.34056308522881473,0.3787032008190849,0.7769980788230896,0.7713031768798828,484.2958947181702,484.2958947181702
