model,kernel_family,is_full,n_lipids,n_folds,n_runs,test_r2_mean,test_r2_median,test_corr_mean,test_corr_median,test_rmse_z_mean,test_rmse_z_median
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.33320528850823117,0.3814235677428882,0.5708540610403592,0.6358428929837326,0.8011238404338069,0.7864933563206785
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3406533949231429,0.37979041303161504,0.5711788171381098,0.632812292758114,0.7979016256693028,0.7875235916217204
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3312469287957646,0.37541861416214317,0.5695775576607942,0.632079440417523,0.8024629907684361,0.7903046132336535
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.33554240644053773,0.37193823205602444,0.5695969287215229,0.6274386201217728,0.8002239779889185,0.7924982733415484
[full] SPECTRAL-5-8-K6000-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3508776094558276,0.36713451189964463,0.5772064848772258,0.6336009821198229,0.7919345562730591,0.7955182327684344
euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,False,5,8,8,0.3273576537108613,0.36592746273900156,0.5425233476363838,0.6060918787231493,0.7998599395155906,0.7781403660774231
euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,False,5,8,8,0.3299587468861111,0.3647572622713166,0.5459406742132266,0.6040832725601517,0.7984466880559922,0.7760379910469055
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.97,manifold,False,5,8,8,0.3226682243465181,0.35847886473348367,0.540320521859006,0.6006898134323598,0.8025983199477196,0.7739208042621613
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,False,5,8,8,0.32427286602723926,0.35842519397806694,0.5420040379633193,0.6016064197273825,0.8013456612825394,0.773935079574585
learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.97,manifold,False,5,8,8,0.3224754986004985,0.3580805730104666,0.5403090253508456,0.6003975425107352,0.8027542814612388,0.7738400995731354
